Company,Rating,CocoaPercentage
Cacao de Origen,3.75,70
Cacao de Origin,3.25,74
Cacao Hunters,3.75,71
Cacao Hunters,3.75,74
Cacao Hunters,3.75,72
Cacao Hunters,3.5,64
Cacao Hunters,3.5,70
Cacao Hunters,2.75,69
Cacao Hunters,3.25,70
Cacao Market,3.5,70
Cacao Prieto,3.75,72
Cacao Prieto,3.0,72
Cacao Prieto,3.75,66
Cacao Prieto,3.25,65
Cacao Sampaka,3.5,70
Cacao Sampaka,3.5,71
Cacao Sampaka,3.75,71
Cacao Sampaka,4.0,71
Cacao Sampaka,3.25,71
Cacao Sampaka,3.5,71
Cacao Sampaka,3.5,77
Cacao Sampaka,4.0,70
Cacao Sampaka,4.0,70
Cacao Store,3.0,70
Cacao Store,3.25,70
Cacao Store,3.5,70
Cacaosuyo (Theobroma Inversiones),3.25,70
Cacaoyere (Ecuatoriana),3.5,63
Cacaoyere (Ecuatoriana),3.5,71
Cacaoyere (Ecuatoriana),2.5,82
Cacaoyere (Ecuatoriana),1.5,91
Callebaut,2.75,60
Callebaut,1.0,70
C-Amaro,2.5,75
C-Amaro,3.0,72
C-Amaro,3.5,70
C-Amaro,3.5,100
C-Amaro,3.0,80
C-Amaro,2.25,78
C-Amaro,2.5,70
Cao,2.5,75
Cao,2.75,73
Cao,3.0,70
Cao,3.0,75
Cao,3.25,70
Caoni (Tulicorp),2.0,77
Caoni (Tulicorp),2.5,77
Caoni (Tulicorp),2.75,77
Caoni (Tulicorp),3.0,55
Caoni (Tulicorp),3.25,55
Caoni (Tulicorp),3.5,55
Captain Pembleton,3.5,70
Captain Pembleton,3.75,70
Caribeans,3.5,72
Caribeans,3.25,72
Caribeans,3.5,72
Caribeans,3.0,72
Caribeans,2.75,80
Carlotta Chocolat,3.0,65
Carlotta Chocolat,3.25,65
Carlotta Chocolat,3.25,65
Carlotta Chocolat,3.5,65
Carlotta Chocolat,3.5,65
Castronovo,4.0,72
Castronovo,3.5,72
Castronovo,3.75,70
Castronovo,3.5,72
Castronovo,3.5,72
Castronovo,3.5,76
Castronovo,2.75,70
Castronovo,3.0,70
Castronovo,3.5,73
Castronovo,2.5,70
Castronovo,3.25,70
Castronovo,3.25,72
Castronovo,2.75,70
Castronovo,3.0,72
Cello,2.5,70
Cello,2.75,70
Cello,2.75,70
Cello,3.0,70
Cemoi,2.75,72
Chaleur B,2.75,70
Charm School,3.25,70
Chchukululu (Tulicorp),2.75,55
Chchukululu (Tulicorp),3.0,75
Chequessett,3.5,70
Chloe Chocolat,3.5,70
Chocablog,3.25,70
Choco Del Sol,3.0,75
Choco Del Sol,3.25,82
Choco Dong,2.75,70
Choco Dong,3.5,70
Chocolarder,2.5,65
Chocolarder,2.75,65
Chocolarder,2.5,80
Chocola'te,3.75,70
Chocola'te,3.75,68
Chocolate Alchemist-Philly,2.5,90
Chocolate Alchemist-Philly,2.5,80
Chocolate Con Amor,2.5,70
Chocolate Con Amor,2.75,70
Chocolate Con Amor,3.0,60
Chocolate Con Amor,3.0,75
Chocolate Con Amor,3.0,80
Chocolate Con Amor,3.25,70
Chocolate Con Amor,2.75,80
Chocolate Conspiracy,2.75,74
Chocolate Makers,3.25,75
Chocolate Makers,3.5,68
Chocolate Makers,3.75,80
"Chocolate Tree, The",3.75,69
"Chocolate Tree, The",3.75,80
"Chocolate Tree, The",3.75,70
"Chocolate Tree, The",2.5,82
"Chocolate Tree, The",2.75,68
"Chocolate Tree, The",3.25,72
Chocolats Privilege,2.5,70
ChocoReko,3.0,77
Chocosol,3.25,65
Chocovic,3.25,71
Chocovic,3.5,71
Chocovic,3.25,60
Chocovic,3.25,75
Chocovic,3.5,71
Chocovic,2.5,71
Chocovic,2.5,71
Chocovic,3.0,70
Chocovivo,2.5,65
Chocovivo,2.5,75
Choklat,2.5,80
Choklat,2.75,70
Choklat,3.0,70
Choklat,3.0,80
Choklat,3.0,70
Chokolat Elot (Girard),2.75,42
Choocsol,3.25,75
Christopher Morel (Felchlin),3.75,68
Chuao Chocolatier,3.0,61
Chuao Chocolatier (Pralus),2.75,77
Claudio Corallo,3.75,73.5
Claudio Corallo,3.0,80
Claudio Corallo,4.0,75
Claudio Corallo,1.0,100
Cloudforest,3.5,73
Coleman & Davis,3.0,75
Compania de Chocolate (Salgado),3.25,70
Compania de Chocolate (Salgado),2.75,80
Compania de Chocolate (Salgado),3.25,72
Compania de Chocolate (Salgado),3.75,70
Compania de Chocolate (Salgado),2.75,88
Condor,3.5,76
Confluence,2.75,78
Coppeneur,3.25,65
Coppeneur,3.5,85
Coppeneur,1.5,100
Coppeneur,3.75,72
Coppeneur,3.5,70
Coppeneur,3.25,72
Coppeneur,3.0,70
Coppeneur,2.5,72
Coppeneur,3.0,72
Coppeneur,3.25,72
Coppeneur,3.25,72
Coppeneur,3.0,72
Coppeneur,3.25,62
Coppeneur,3.5,70
Coppeneur,3.75,70
Coppeneur,3.0,72
Coppeneur,3.0,72
Coppeneur,3.0,72
Cote d' Or (Kraft),1.0,70
Cravve,2.5,70
Cravve,2.75,83
Cravve,3.25,75
Cravve,3.25,65
Cravve,3.25,67
Cravve,3.25,64
Cravve,3.5,75
Creo,3.25,85
Creo,3.75,73
Daintree,2.75,70
Daintree,3.25,70
Dalloway,2.75,72
Damson,3.0,70
Damson,3.5,70
Damson,2.25,70
Damson,2.75,70
Dandelion,3.75,70
Dandelion,3.0,70
Dandelion,3.5,70
Dandelion,3.5,70
Dandelion,2.75,70
Dandelion,3.75,70
Dandelion,2.75,70
Dandelion,3.25,70
Dandelion,3.5,70
Dandelion,3.5,70
Dandelion,3.0,70
Dandelion,3.25,70
Dandelion,3.75,70
Dandelion,3.25,70
Dandelion,3.25,70
Dandelion,3.25,70
Danta,3.25,82
Danta,3.0,75
Danta,3.75,70
Danta,3.75,70
Danta,4.0,70
Danta,3.25,70
Danta,3.5,60
Danta,3.0,75
Danta,3.25,60
DAR,2.75,72
DAR,3.0,72
DAR,3.25,70
Dark Forest,3.25,75
Dark Forest,3.0,70
Dark Forest,3.25,70
Dark Forest,3.0,70
Dark Forest,3.25,70
Davis,2.5,70
Davis,2.75,70
Davis,2.75,70
Davis,3.25,58
De Mendes,3.5,72
De Mendes,3.5,65
De Villiers,2.5,70
De Villiers,3.0,70
Dean and Deluca (Belcolade),2.5,66
Dean and Deluca (Belcolade),3.0,64
Dean and Deluca (Belcolade),3.0,71
Dean and Deluca (Belcolade),3.0,60
Dean and Deluca (Belcolade),3.0,64
Dean and Deluca (Belcolade),3.0,64
Debauve & Gallais (Michel Cluizel),3.0,64
Debauve & Gallais (Michel Cluizel),3.75,66
Desbarres,2.5,72
DeVries,2.75,80
DeVries,3.5,77
DeVries,3.5,77
Dick Taylor,3.75,70
Dick Taylor,3.5,78
Dick Taylor,3.75,70
Dick Taylor,3.5,74
Dick Taylor,3.25,70
Dick Taylor,3.5,76
Dick Taylor,2.75,75
Dick Taylor,2.75,72
Dick Taylor,2.75,80
Dick Taylor,3.0,72
Dick Taylor,2.75,75
Dick Taylor,3.0,74
Dick Taylor,3.25,70
Doble & Bignall,3.0,85
Doble & Bignall,3.25,72
Doble & Bignall,3.25,72
Doble & Bignall,3.5,72
Dole (Guittard),3.75,70
Dolfin (Belcolade),3.0,88
Dolfin (Belcolade),1.5,70
Domori,3.75,70
Domori,3.75,70
Domori,3.0,100
Domori,3.5,70
Domori,3.75,70
Domori,3.5,70
Domori,3.0,70
Domori,3.0,70
Domori,3.0,70
Domori,3.5,78
Domori,3.75,70
Domori,4.0,70
Domori,3.25,75
Domori,3.25,60
Domori,3.5,70
Domori,3.5,70
Domori,3.75,70
Domori,4.0,70
Domori,4.0,70
Domori,3.0,70
Domori,3.25,70
Domori,3.5,70
Dormouse,2.75,75
Dormouse,2.5,70
Dormouse,2.75,80
Dormouse,2.75,77
Duffy's,4.0,70
Duffy's,3.5,70
Duffy's,3.75,76
Duffy's,3.75,72
Duffy's,3.75,72
Duffy's,3.5,65
Duffy's,3.0,72
Duffy's,3.25,71
Duffy's,3.5,71
Duffy's,3.5,70
Duffy's,3.75,72
Duffy's,2.5,70
Duffy's,3.75,70
Dulcinea,3.25,70
Durand,2.75,82
Durci,3.5,70
Durci,3.5,70
Durci,3.25,70
Durci,3.25,70
Durci,4.0,70
East Van Roasters,3.25,70
East Van Roasters,3.5,70
East Van Roasters,3.75,70
Eau de Rose,3.25,70
Eau de Rose,3.25,70
Eclat (Felchlin),2.75,72
Edelmond,3.0,68
El Ceibo,3.75,75
El Ceibo,2.75,71
El Rey,3.75,70
El Rey,2.75,60.5
El Rey,3.0,70
El Rey,2.5,74
El Rey,2.5,58
El Rey,3.0,61
El Rey,2.75,70
Emerald Estate,2.75,60
Emerald Estate,3.25,70
Emily's,3.0,79
Emily's,3.5,78
ENNA,3.25,75
Enric Rovira (Claudio Corallo),3.25,80
Erithaj (A. Morin),3.25,70
Erithaj (A. Morin),3.0,80
Erithaj (A. Morin),3.25,74
Escazu,2.75,70
Escazu,2.0,65
Escazu,3.5,81
Escazu,2.75,74
Escazu,3.0,72
Ethel's Artisan (Mars),2.5,55
Ethel's Artisan (Mars),2.5,55
Ethel's Artisan (Mars),2.5,70
Ethel's Artisan (Mars),2.75,62
Ethel's Artisan (Mars),2.5,62
Ethereal,3.0,80
Ethereal,3.5,80
Ethereal,3.75,80
Fearless (AMMA),2.75,75
Feitoria Cacao,3.0,76
Feitoria Cacao,2.5,76
Feitoria Cacao,2.75,76
Felchlin,3.5,58
Felchlin,2.0,62
Felchlin,3.0,74
Felchlin,3.0,64
Felchlin,3.0,65
Felchlin,3.5,72
Felchlin,4.0,68
Finca,2.25,65
Finca,3.0,80
Finca,3.25,70
Finca,2.5,85
Forever Cacao,2.75,72
Forteza (Cortes),2.75,70
Forteza (Cortes),2.75,80
Fossa,2.75,70
Fossa,3.5,75
Fossa,3.75,67
Franceschi,3.5,70
Franceschi,3.75,70
Franceschi,3.75,70
Franceschi,3.5,60
Frederic Blondeel,3.5,70
Frederic Blondeel,3.5,75
Frederic Blondeel,3.0,80
Frederic Blondeel,3.5,60
Frederic Blondeel,3.5,65
French Broad,3.5,70
French Broad,3.5,73
French Broad,3.0,80
French Broad,3.25,68
French Broad,3.5,66
French Broad,2.5,70
French Broad,3.5,61
French Broad,2.0,81
French Broad,3.5,70
French Broad,3.5,65
Fresco,3.0,70
Fresco,3.5,70
Fresco,3.5,70
Fresco,3.5,70
Fresco,3.25,72
Fresco,3.75,72
Fresco,3.75,70
Fresco,4.0,70
Fresco,3.5,69
Fresco,3.5,69
Fresco,4.0,74
Fresco,4.0,69
Fresco,3.0,69
Fresco,2.75,74
Fresco,3.25,70
Fresco,3.5,72
Fresco,3.5,70
Fresco,2.75,74
Fresco,3.25,72
Fresco,3.0,74
Fresco,3.25,76
Fresco,4.0,70
Fresco,2.75,80
Fresco,3.0,70
Fresco,3.25,70
Fresco,3.5,65
Friis Holm,3.5,70
Friis Holm (Bonnat),3.0,60
Friis Holm (Bonnat),3.25,85
Friis Holm (Bonnat),3.5,70
Friis Holm (Bonnat),3.25,70
Friis Holm (Bonnat),3.5,70
Friis Holm (Bonnat),3.25,70
Friis Holm (Bonnat),3.25,70
Friis Holm (Bonnat),3.25,70
Friis Holm (Bonnat),3.75,70
Friis Holm (Bonnat),3.25,70
Friis Holm (Bonnat),3.5,70
Friis Holm (Bonnat),3.5,70
Fruition,3.75,74
Fruition,4.0,74
Fruition,3.75,70
Fruition,3.0,76
Fruition,3.75,70
Fruition,3.0,75
Fruition,2.5,70
Fruition,3.25,66
Fruition,3.0,70
Garden Island,2.5,85
Georgia Ramon,3.25,65
Georgia Ramon,4.0,70
Georgia Ramon,3.5,70
Georgia Ramon,3.5,80
Georgia Ramon,3.5,75
Glennmade,3.5,70
Glennmade,3.0,66
Goodnow Farms,2.75,77
Goodnow Farms,3.25,77
Goodnow Farms,3.25,77
Grand Place,3.0,72
Green & Black's (ICAM),2.5,70
Green Bean to Bar,3.5,70
Grenada Chocolate Co.,3.25,82
Grenada Chocolate Co.,2.75,60
Grenada Chocolate Co.,2.5,71
Guido Castagna,3.0,64
Guido Castagna,3.0,64
Guido Castagna,3.0,64
Guido Castagna,3.0,76
Guido Castagna,3.25,64
Guittard,3.75,70
Guittard,2.75,65
Guittard,2.75,65
Guittard,3.25,65
Guittard,3.5,65
Guittard,2.75,72
Guittard,3.25,61
Guittard,3.25,72
Guittard,3.0,65
Guittard,3.0,55
Guittard,3.0,91
Guittard,3.5,70
Guittard,3.0,65
Guittard,3.0,64
Guittard,3.5,65
Guittard,3.5,72
Guittard,3.0,65
Guittard,2.5,65
Guittard,3.5,65
Guittard,3.5,65
Guittard,3.5,61
Guittard,3.0,61
Habitual,2.75,80
Habitual,2.75,74
Habitual,3.25,75
Habitual,3.5,70
Habitual,2.75,65
Habitual,3.0,70
Habitual,3.0,80
Habitual,3.25,66
Habitual,2.0,100
Hachez,2.5,77
Hacienda El Castillo,2.75,55
Hacienda El Castillo,3.0,70
Haigh,3.0,70
Harper Macaw,3.25,85
Harper Macaw,3.0,67
Harper Macaw,3.5,77
Harper Macaw,3.5,74
Heilemann,2.75,64
Heirloom Cacao Preservation (Brasstown),3.25,70
Heirloom Cacao Preservation (Fruition),3.5,74
Heirloom Cacao Preservation (Guittard),3.5,67
Heirloom Cacao Preservation (Guittard),3.0,67
Heirloom Cacao Preservation (Guittard),3.75,67
Heirloom Cacao Preservation (Guittard),3.75,67
Heirloom Cacao Preservation (Manoa),3.5,72
Heirloom Cacao Preservation (Millcreek),3.5,70
Heirloom Cacao Preservation (Mindo),3.5,77
Heirloom Cacao Preservation (Zokoko),3.75,68
Heirloom Cacao Preservation (Zokoko),4.0,72
hello cocoa,2.75,57
hello cocoa,3.5,74
hexx,2.75,70
hexx,3.0,74
hexx,3.0,70
hexx,3.25,73
hexx,3.25,70
Hogarth,2.75,70
Hogarth,2.75,72
Hogarth,3.25,75
Hogarth,3.5,66
Hoja Verde (Tulicorp),2.0,80
Hoja Verde (Tulicorp),2.5,80
Hoja Verde (Tulicorp),3.0,72
Hoja Verde (Tulicorp),3.25,58
Hoja Verde (Tulicorp),3.5,58
Holy Cacao,2.75,70
Holy Cacao,3.5,70
Holy Cacao,3.5,70
Holy Cacao,3.5,70
Holy Cacao,3.5,70
Holy Cacao,2.5,70
Holy Cacao,2.75,70
Holy Cacao,3.5,70
Holy Cacao,3.75,75
Honest,2.5,72
Hotel Chocolat,2.75,70
Hotel Chocolat,4.0,70
Hotel Chocolat,1.75,100
Hotel Chocolat (Coppeneur),3.0,75
Hotel Chocolat (Coppeneur),3.5,80
Hotel Chocolat (Coppeneur),3.0,90
Hotel Chocolat (Coppeneur),3.0,72
Hotel Chocolat (Coppeneur),3.5,82
Hotel Chocolat (Coppeneur),2.75,100
Hotel Chocolat (Coppeneur),2.5,100
Hotel Chocolat (Coppeneur),2.75,100
Hotel Chocolat (Coppeneur),3.5,66
Hotel Chocolat (Coppeneur),3.0,80
Hotel Chocolat (Coppeneur),3.0,65
Hotel Chocolat (Coppeneur),3.25,65
Hotel Chocolat (Coppeneur),2.75,70
Hotel Chocolat (Coppeneur),3.0,70
Hotel Chocolat (Coppeneur),2.75,70
Hotel Chocolat (Coppeneur),3.0,72
Hotel Chocolat (Coppeneur),2.5,80
Hotel Chocolat (Coppeneur),2.75,75
Hotel Chocolat (Coppeneur),3.0,72
Hummingbird,3.5,70
Hummingbird,3.0,70
Hummingbird,3.0,70
Hummingbird,3.0,70
Hummingbird,3.75,70
Hummingbird,3.5,70
Hummingbird,3.25,70
Hummingbird,3.75,70
Idilio (Felchlin),3.75,72
Idilio (Felchlin),3.75,72
Idilio (Felchlin),3.75,72
Idilio (Felchlin),3.25,72
Idilio (Felchlin),3.75,72
Idilio (Felchlin),4.0,74
Idilio (Felchlin),3.5,72
Idilio (Felchlin),4.0,70
Idilio (Felchlin),4.0,72
Idilio (Felchlin),4.0,72
Indah,2.5,61
Indaphoria,3.25,70
Indaphoria,2.75,70
Indi,3.0,77
iQ Chocolate,2.75,72
iQ Chocolate,3.0,72
Isidro,3.5,72
Isidro,2.25,72
Isidro,3.25,72
Isidro,3.25,72
Izard,3.5,70
Izard,2.75,70
Jacque Torres,2.0,71
Jordis,2.75,63
Just Good Chocolate,3.5,70
Just Good Chocolate,3.5,70
Just Good Chocolate,4.0,70
Kah Kow,3.5,70
Kah Kow,3.0,82
Kah Kow,3.25,55
Kah Kow,3.25,62
Kakao,2.5,64
Kakao,3.75,65
Kallari (Ecuatoriana),3.0,70
Kallari (Ecuatoriana),3.5,70
Kallari (Ecuatoriana),2.75,75
Kallari (Ecuatoriana),2.5,85
Kallari (Ecuatoriana),2.75,85
Kallari (Ecuatoriana),3.0,85
Kallari (Ecuatoriana),2.5,75
Kallari (Ecuatoriana),3.0,85
Kaoka (Cemoi),2.75,70
Kaoka (Cemoi),2.75,80
Kerchner,3.75,70
Ki' Xocolatl,2.0,72
Kiskadee,3.0,60
Kto,2.5,72
Kto,2.75,72
Kto,3.0,72
Kto,3.25,72
Kto,3.25,90
Kto,3.25,72
Kto,3.25,72
K'ul,3.25,70
K'ul,2.75,70
K'ul,3.75,70
K'ul,3.75,70
Kyya,2.5,72.5
Kyya,3.0,72.5
Kyya,2.5,72.5
Kyya,3.0,72.5
L.A. Burdick (Felchlin),3.25,74
L.A. Burdick (Felchlin),4.0,70
L.A. Burdick (Felchlin),3.75,68
L.A. Burdick (Felchlin),3.75,74
L.A. Burdick (Felchlin),3.25,75
L.A. Burdick (Felchlin),3.75,74
L.A. Burdick (Felchlin),3.0,71
L.A. Burdick (Felchlin),3.5,64
L.A. Burdick (Felchlin),3.0,68
La Chocolaterie Nanairo,2.25,70
La Chocolaterie Nanairo,2.5,70
La Chocolaterie Nanairo,3.0,70
La Chocolaterie Nanairo,3.0,70
La Maison du Chocolat (Valrhona),2.75,74
La Maison du Chocolat (Valrhona),3.25,60
La Maison du Chocolat (Valrhona),3.25,56
La Maison du Chocolat (Valrhona),3.5,66
La Maison du Chocolat (Valrhona),3.5,68
La Maison du Chocolat (Valrhona),3.25,68
La Maison du Chocolat (Valrhona),3.5,69
La Maison du Chocolat (Valrhona),3.0,60
La Maison du Chocolat (Valrhona),3.75,60
La Maison du Chocolat (Valrhona),3.5,74
La Oroquidea,2.5,72
La Pepa de Oro,3.25,60
Laia aka Chat-Noir,2.75,75
Laia aka Chat-Noir,2.75,75
Laia aka Chat-Noir,3.0,75
Laia aka Chat-Noir,3.25,75
Laia aka Chat-Noir,3.0,75
Laia aka Chat-Noir,3.5,75
Laia aka Chat-Noir,3.25,75
Laia aka Chat-Noir,3.75,75
Laia aka Chat-Noir,2.75,70
Laia aka Chat-Noir,2.75,68
Lajedo do Ouro,3.5,70
Lake Champlain (Callebaut),2.5,75
L'Amourette,3.5,80
L'Amourette,3.0,75
L'Amourette,3.0,75
L'Amourette,3.0,72
Letterpress,3.5,70
Letterpress,3.25,70
Letterpress,3.25,70
Letterpress,3.25,70
Letterpress,3.5,70
Letterpress,3.0,70
Letterpress,3.25,70
Letterpress,3.5,70
Letterpress,3.5,70
Levy,3.5,71
Lilla,3.0,70
Lillie Belle,3.5,65
Lillie Belle,3.5,68
Lillie Belle,3.75,68
Lillie Belle,2.75,75
Lillie Belle,3.0,74
Lillie Belle,3.5,68
Lindt & Sprungli,3.0,85
Loiza,2.5,65
Lonohana,3.75,70
Lonohana,3.25,65
Lonohana,3.75,75
Lonohana,3.0,71
Lonohana,3.0,72
Lonohana,3.5,70
Love Bar,2.0,75
Luker,2.75,46
Luker,3.0,60
Luker,3.0,58
Luker,3.5,65
Machu Picchu Trading Co.,1.5,70
Machu Picchu Trading Co.,2.25,55
Madecasse (Cinagra),3.5,67
Madecasse (Cinagra),3.75,70
Madecasse (Cinagra),4.0,63
